方向,板块排名,板块代码,板块名称,板块涨跌幅,板块主力净流入,排序口径,股票排名,股票代码,股票名称,现价,涨跌幅,成交额
净流入,30,BK1595,原料药,3.71%,+5.61亿,成交额,3,600488,津药药业,6.98元,+7.88%,12.30亿
净流入,30,BK1595,原料药,3.71%,+5.61亿,涨幅,1,603538,美诺华,39.00元,+10.01%,38.66亿
净流入,30,BK1595,原料药,3.71%,+5.61亿,涨幅,2,002365,永安药业,11.98元,+10.01%,2.84亿
净流入,30,BK1595,原料药,3.71%,+5.61亿,涨幅,3,688166,博瑞医药,35.44元,+20.01%,4.13亿
净流出,1,BK1201,电子,-4.01%,-447.73亿,成交额,1,002384,东山精密,262.49元,+0.81%,372.58亿
净流出,1,BK1201,电子,-4.01%,-447.73亿,成交额,2,603986,兆易创新,571.79元,-2.09%,324.95亿
净流出,1,BK1201,电子,-4.01%,-447.73亿,成交额,3,002156,通富微电,78.71元,+1.08%,234.81亿
净流出,1,BK1201,电子,-4.01%,-447.73亿,涨幅,1,002141,贤丰控股,5.61元,+10.00%,4.96亿
净流出,1,BK1201,电子,-4.01%,-447.73亿,涨幅,2,688007,光峰科技,12.54元,+9.62%,2.20亿
净流出,1,BK1201,电子,-4.01%,-447.73亿,涨幅,3,688061,灿瑞科技,47.36元,+7.27%,1.89亿
净流出,2,BK1036,半导体,-5.55%,-304.61亿,成交额,1,603986,兆易创新,571.79元,-2.09%,324.95亿
净流出,2,BK1036,半导体,-5.55%,-304.61亿,成交额,2,002156,通富微电,78.71元,+1.08%,234.81亿
净流出,2,BK1036,半导体,-5.55%,-304.61亿,成交额,3,600584,长电科技,92.46元,-9.97%,229.67亿
净流出,2,BK1036,半导体,-5.55%,-304.61亿,涨幅,1,688061,灿瑞科技,47.36元,+7.27%,1.89亿
净流出,2,BK1036,半导体,-5.55%,-304.61亿,涨幅,2,688220,翱捷科技-U,123.71元,+5.55%,21.57亿
净流出,2,BK1036,半导体,-5.55%,-304.61亿,涨幅,3,603501,豪威集团,111.12元,+4.68%,72.32亿
净流出,3,BK1331,数字芯片设计,-5.03%,-112.82亿,成交额,1,603986,兆易创新,571.79元,-2.09%,324.95亿
